artifact_status	superseded_by	supersession_reason	compartment	compartment_label	window_days	n_site_campaigns	n_sites	estimate_per_mm	std_error	ci_low	ci_high	p	residual_moran_i	residual_moran_p	q_within_compartment	q_global	n_tests_in_global_family
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Surface	Surface	1	198	60	-0.005817592943428124	0.17286765579387436	-0.34463197239128873	0.33299678650443243	0.9731534997557276	0.22789932822060197	0.001	0.9731534997557277	0.9731534997557277	18
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Surface	Surface	3	198	60	0.11042866216891332	0.0731567805798424	-0.03295599299247702	0.25381331733030366	0.1311762846530582	0.22859917700070673	0.001	0.1967644269795873	0.4722346247510095	18
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Surface	Surface	7	198	60	-0.059901426014436675	0.02629033109466411	-0.11142952810161183	-0.008373323927261526	0.022699279664927637	0.21937309910648187	0.001	0.09332525607756106	0.18665051215512216	18
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Surface	Surface	10	198	60	-0.03630273251706292	0.01684047739494612	-0.06930946169361824	-0.003296003340507607	0.031108418692520356	0.22304367586302684	0.001	0.09332525607756106	0.18665051215512216	18
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Surface	Surface	14	198	60	-0.022582437181177625	0.017043498762811447	-0.05598708092684103	0.010822206564485778	0.18517501773065947	0.22635499565937636	0.001	0.22221002127679138	0.5555250531919784	18
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Surface	Surface	30	198	60	-0.02702996015960349	0.017781636166216096	-0.06188132663158192	0.007821406312374941	0.12848450175090223	0.2284092535160467	0.001	0.1967644269795873	0.4722346247510095	18
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Deep	Shallow subsurface	1	211	60	0.10801398474126482	0.24601171084250154	-0.3741601082851201	0.5901880777676497	0.6606178172172925	0.07818901586175613	0.111	0.9423737725685685	0.9147015930700972	18
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Deep	Shallow subsurface	3	211	60	0.20372372618898107	0.08194949391251033	0.043105669569176414	0.3643417828087857	0.012919999592653242	0.07927786188922542	0.1	0.07751999755591946	0.18665051215512216	18
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Deep	Shallow subsurface	7	211	60	-0.02206919571550302	0.027651706471078816	-0.07626554450989066	0.03212715307888461	0.42480472273301706	0.07497706895053127	0.126	0.9423737725685685	0.8888013469026222	18
SUPERSEDED	analysis/v3/rain_response_window/	Historical compartment-wise screen; superseded because it does not estimate the paired surface-minus-shallow contrast with site- and campaign-specific position baselines or calibrate the complete window search while preserving the spatial rainfall field.	Deep	Shallow subsurface	10	211	60	-0.004661293808967942	0.027029121461192226	-0.05763739840666335	0.04831481078872746	0.8630802238230929	0.077408568693169	0.119	0.9423737725685685	0.9709652518009795	18
